time,J_out,P_out,TK_out,kg_out
0,0,0,0,0
10000,5744427.5081323,8.3626203567702,472.91347780921,6.7252407135405
20000,6288964.7676138,8.6782277896629,473.04725293943,7.3564555793258
31000,7411190.1578175,8.9379339412561,473.14885197593,8.6634546707633
43100,8549068.1862564,9.1275257162636,473.22651622865,9.988612233358
56410,9715302.0014768,9.2625527069078,473.28650154229,11.346915305789
71051,10923031.544598,9.3554904650949,473.33375222051,12.753747179891
87156.1,12183589.954123,9.4154951241008,473.37097640007,14.222398104631
104871.71,13522166.082775,9.4543178514988,473.40114619314,15.782191574638
124358.881,14955292.825324,9.4779191445688,473.42588056702,17.452395218877
145794.7691,16501310.287859,9.4911457307135,473.44674056223,19.254339464873
169374.24601,18187432.706802,9.4995892537162,473.46568514393,21.219592182497
195311.670611,20024521.296406,9.5032935829402,473.48336213801,23.360767552736
223842.8376721,22040297.353752,9.5055976052243,473.50109204903,25.709991596949
255227.12143931,24246955.33349,9.5056670353672,473.51899647856,28.281426559706
286611.40520652,24249025.376298,9.5056490672488,473.5362107147,28.2813137764
321134.11735045,26671655.621076,9.5048476691328,473.55414342562,31.103911866746
359109.10070878,29341361.069153,9.5047818375592,473.57364257704,34.213803062838
400881.58240293,32282454.263578,9.5052660648801,473.59441280349,37.639228844502
446831.3122665,35512130.408761,9.5049501122599,473.61571979907,41.400248141442
492781.04213008,35512473.396731,9.5045233842465,473.63587645128,41.396326534054
538730.77199365,35512740.656153,9.5041170230642,473.65475204771,41.392592096743
589275.47484358,39060572.184522,9.5032849907388,473.67345274784,45.523440341088
644874.6479785,42966623.989694,9.502859703454,473.69167304555,50.071055250921
675454.19320271,23646369.72337,9.5054266375998,473.70165647793,27.554779523766
706033.73842692,23653625.742077,9.5065954490792,473.71068510489,27.561927868465
739671.23817354,26021362.973733,9.5067997030008,473.71952150602,30.319494773558
776672.48789483,28623658.527354,9.506627951466,473.72795748067,33.350173246629
817373.86258825,31484315.308654,9.5061962248704,473.73600360027,36.681676198105
862145.37475102,34630343.296762,9.5056939416217,473.7441622022,40.345346221799
911394.03813005,38092138.87244,9.5053767048738,473.75149799382,44.376756146818
960642.70150909,38096322.263189,9.5057469264544,473.75679294619,44.380402730418
1014816.231226,41908065.090838,9.5059314782134,473.75858870703,48.8204425675
1044611.6725704,23059886.33642,9.507967527958,473.75868960216,26.863376412272
1074407.1139147,23065163.880152,9.5090405293995,473.75682082952,26.869770522575
1107182.0993934,25373434.772337,9.5094595995982,473.75219455862,29.559494578768
1143234.58342,27909815.94778,9.509542120159,473.74201111195,32.516039050885
1182892.3158493,30696261.757977,9.509268200971,473.72526307179,35.765470353201
1226515.8215215,33757003.066939,9.508806037102,473.69433522564,39.337985146888
1270139.3271938,33747172.257304,9.5084951415277,473.65151680579,39.335272675918
1318125.1834332,37104234.925229,9.5082316678848,473.57114017009,43.26627134184
1342118.1115529,18552978.729054,9.5094708611893,473.5270188297,21.639082046096
1368510.3324846,20403905.329474,9.5099088291876,473.4670136141,23.80530204034
1397541.7755095,22435333.569859,9.5100106089325,473.38575704829,26.186423206947
1429476.3628368,24664960.72022,9.5100540017903,473.27541647621,28.805342674244
1464604.4088969,27110355.308698,9.5101082720507,473.12342685628,31.686258223309
1503245.259563,29790412.58748,9.5102742366545,472.91655698259,34.856166648334
1545750.1952957,32723185.951678,9.5106045286797,472.63115433805,38.344591121429
1592505.6246017,35926988.141388,9.5113307135378,472.23489486944,42.185840850531
1643936.5968382,39418337.805536,9.5126983143118,471.68540692264,46.418492343072
1700510.6662984,43210520.347622,9.5149972756241,470.92825615972,51.086353896772
1762742.1427047,47312121.277396,9.5185827106482,469.89727630214,56.239614669471
1831196.7667515,51725848.177254,9.5239017725697,468.51695593309,61.936399013242
1906496.8532031,56447470.118907,9.5316320594353,466.70075157421,68.246457168422
1989326.9482998,61459855.674585,9.5424168156288,464.35192038681,75.249763361484
2080440.0529062,66744915.905302,9.5563778442916,461.42853038101,83.029146230625
2180664.4679732,72278004.775253,9.573656638961,457.90103852254,91.678412271449
2290911.3245469,78032751.788065,9.5943809386249,453.76586850941,101.30321127712
2412182.866778,83998660.566381,9.6180671068693,449.09701878692,112.00802403534
2545581.5632322,90197035.552263,9.6439623843967,444.04330551642,123.89970569217
2692320.1293318,96671137.424283,9.6710280237812,438.77736432787,137.08399088416
2853732.5520414,103480803.18875,9.6981661838873,433.46407334194,151.6684772067
3015144.974751,100877856.19152,9.7230583508368,428.65512897046,152.47205820146
3103921.8072413,54749018.698415,9.7369352842863,426.16838603722,84.106022050068
3192698.6397315,54046179.396898,9.7490532658464,423.83404016104,84.321181253883
3290353.1554708,58654358.664215,9.7611653120327,421.45007757082,92.989858580258
3397773.1227841,63622390.412723,9.7735433751561,419.01852394244,102.55477466551
3515935.0868286,68992105.256289,9.786191982308,416.57788294665,113.10916898476
3645913.2472776,74805385.521101,9.7989128688337,414.15508997864,124.75077336921
3788889.2237715,81102773.332991,9.8114773862844,411.76597150406,137.58513553647
3946162.7979148,87919865.921536,9.8238676134631,409.40441656992,151.73338015269
4119163.7294724,95300473.90733,9.8362264464661,407.06873776553,167.33433609245
4292164.6610301,94018628.03045,9.8475615415941,404.95271935264,167.72653249574
4482465.6857434,102013032.86608,9.8588307357634,402.84968412533,184.92809358494
4691796.8129282,110671142.6767,9.8700440963334,400.76147364485,203.89036402496
4796462.3765205,54974449.506633,9.8757737126488,399.77428577671,102.06512071664
4848795.1583167,27399394.70714,9.8785638469397,399.29478139591,51.061763456127
