time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
0,0,0,0,0,0,0
1,0,9.7725290407415,9.6648234867629,473.00000051916,0,0
2.1,0,10.214660070302,9.6648235095964,473.00000108497,0,0
3.31,0,10.652294038925,9.6648235347076,473.00000170447,0,0
4.641,0,11.015390231154,9.6648235623225,473.00000238209,0,0
6.1051,0,11.25009136683,9.6648235926898,473.0000031228,0,0
7.71561,0,11.36128143858,9.6648236260827,473.00000393194,0,0
9.487171,0,11.390242065525,9.6648236628015,473.00000481517,0,0
11.4358881,0,11.375597557014,9.6648237031757,473.00000577848,0,0
13.57947691,0,11.341868586847,9.6648237475674,473.00000682821,0,0
15.937424601,0,11.30424060399,9.664823796374,473.000007971,0,0
18.5311670611,0,11.273284486692,9.6648238500327,473.00000921407,0,0
21.38428376721,0,11.255752217052,9.6648239090219,473.00001056438,0,0
24.522712143931,0,11.251646682541,9.6648239738676,473.00001202952,0,0
27.974983358324,0,11.255800495218,9.6648240451465,473.000013617,0,0
31.772481694157,0,11.262517443449,9.6648241234914,473.00001533461,0,0
35.949729863572,0,11.26867537558,9.6648242095963,473.00001719004,0,0
40.544702849929,0,11.273713113818,9.6648243042217,473.00001919075,0,0
45.599173134922,0,11.278384235643,9.6648244082007,473.00002134372,0,0
51.159090448415,0,11.283648435212,9.6648245224454,473.00002365535,0,0
57.274999493256,0,11.289955843294,9.6648246479622,473.0000261342,0,0
64.002499442582,0,11.296948692063,9.664824785835,473.00002878109,0,0
71.40274938684,0,11.303786529306,9.6648249372648,473.00003160132,0,0
79.543024325524,0,11.31008248754,9.6648251035588,473.00003459658,0,0
88.497326758076,0,11.316154149038,9.6648252861566,473.00003777051,0,0
98.347059433884,0,11.322433028873,9.6648254866055,473.00004111578,0,0
109.18176537727,0,11.329003149997,9.6648257066148,473.00004462966,0,0
121.099941915,0,11.335535943728,9.6648259480401,473.00004830355,0,0
134.2099361065,0,11.341814171988,9.6648262129162,473.00005212953,0,0
148.63092971715,0,11.347962571202,9.6648265034316,473.00005608798,0,0
164.49402268886,0,11.354223246799,9.6648268219869,473.00006016145,0,0
181.94342495775,0,11.360545025457,9.6648271711777,473.00006432515,0,0
201.13776745353,0,11.366740074547,9.6648275538279,473.00006855204,0,0
222.25154419888,0,11.372789702294,9.6648279729972,473.00007281048,0,0
245.47669861877,0,11.378883369574,9.6648284319875,473.0000770633,0,0
271.02436848064,0,11.385174142841,9.6648289343548,473.00008126802,0,0
299.12680532871,0,11.391748227676,9.6648294839284,473.00008537904,0,0
330.03948586158,0,11.398751259185,9.6648300849817,473.00008936984,0,0
364.04343444774,0,11.406330956796,9.664830741725,473.00009315942,0,0
401.44777789251,0,11.414430129531,9.6648314589854,473.00009671273,0,0
442.59255568176,0,11.422777555793,9.6648322417941,473.00009997958,0,0
487.85181124994,0,11.431100700199,9.6648330957309,473.00010293024,0,0
537.63699237493,0,11.439021102491,9.6648340261932,473.00010549545,0,0
592.40069161242,0,11.446387768129,9.6648350393102,473.00010764768,0,0
652.64076077367,0,11.453191529151,9.6648361413456,473.00010935182,0,0
718.90483685103,0,11.459434753332,9.6648373391184,473.00011059025,0,0
791.79532053614,0,11.465049976146,9.6648386392104,473.0001113312,0,0
