time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
740.560722013,0,11.700182929888,9.6648546970926,473.00078260497,0,0
814.7292942143,0,11.705736889365,9.6648562585185,473.00082166795,0,0
896.31472363573,0,11.710804985458,9.6648578932042,473.00086255832,0,0
986.0586959993,0,11.715439263236,9.664859604796,473.00090536668,0,0
1084.7770655992,0,11.719731731505,9.6648613970998,473.00095018751,0,0
1193.3672721592,0,11.72378249845,9.6648632740892,473.00099711943,0,0
1312.8164993751,0,11.727710511698,9.6648652399142,473.00104626542,0,0
1444.2106493126,0,11.731728962365,9.6648672989102,473.00109773297,0,0
1588.7442142438,0,11.73613413357,9.6648694556071,473.00115163438,0,0
1747.7311356682,0,11.741145560337,9.6648717147381,473.00120808692,0,0
1922.616749235,0,11.746854731913,9.6648740812492,473.0012672131,0,0
2114.9909241585,0,11.75343896212,9.6648765603093,473.00132914085,0,0
2326.6025165744,0,11.761208882766,9.6648791573199,473.00139400382,0,0
2559.3752682318,0,11.770306593374,9.6648818779253,473.00146194159,0,0
2815.425295055,0,11.780539317199,9.6648847280236,473.00153309994,0,0
3097.0803245605,0,11.791471454975,9.6648877137774,473.0016076311,0,0
3406.9008570166,0,11.802548554516,9.6648908416256,473.00168569404,0,0
3747.7034427182,0,11.81320985163,9.6648941182944,473.00176745471,0,0
4122.5862869901,0,11.823038354043,9.6648975508241,473.00185308672,0,0
4534.9574156891,0,11.831917637212,9.6649011711868,473.00194338899,0,0
4761.7615364735,0,11.836364016528,9.6649031316866,473.00199228603,0,0
4988.565657258,0,11.840470030939,9.6649052991436,473.00204637713,0,0
5238.0501901209,0,11.844743597989,9.6649899367086,473.00417117683,0,0
5375.2666831955,0,11.847063664397,9.6652690712456,473.01118899952,0,0
5512.4831762701,0,11.849375090784,9.6837400848576,473.55869750074,0,0
5550.2177118656,0,11.850012364657,9.6949666950766,473.85898019256,0,0
5587.9522474611,23163.789650654,11.850650768812,9.7000361428222,474.37818316938,0.026895421748742,0.00071275348495184
5629.4602366162,122657.56710733,11.851354913382,9.7001730629779,475.40053855263,0.14166786815505,0.0034130265290811
5675.1190246867,417125.27306342,11.852132578453,9.7005335596187,475.91631025602,0.48049707716339,0.010523649388607
5725.3436915644,1082035.9419822,11.852992756035,9.7012619631543,475.29975218179,1.250385668329,0.024895847918227
5780.5908251298,2322972.1686196,11.853945851047,9.7024841319055,473.57148228256,2.7084891691123,0.049024971873092
5841.3626720517,4342913.7254785,11.855003964553,9.7042809586494,470.80923125349,5.137182202929,0.0845322705023
5908.2117036658,7301593.3306054,11.856181319554,9.7066672503339,467.11927648894,8.8072526970687,0.131748396116
5981.7456384414,11317297.625331,11.857494941432,9.7096168973391,462.61073645624,13.986633102828,0.19020651003543
6062.6329666944,16492283.959294,11.858965763564,9.7130972591512,457.40069775074,20.975555817992,0.25931819323245
6151.6090277728,22926931.834562,11.860620362425,9.7170822911245,451.60784463833,30.130118921279,0.33863174606854
6249.4826949591,30719503.587182,11.862493488099,9.7215494066899,445.35822631241,41.86734797309,0.42776927826177
6357.1437288639,39962596.330982,11.864631412616,9.7264729358028,438.79087925349,56.661477665447,0.52629512842611
6475.5708661593,50749430.986984,11.867095881668,9.7318236707275,432.05303844769,75.04780652526,0.633704472127
6605.8407171842,63199919.70994,11.869968189002,9.7375784746487,425.29168083926,97.652181563605,0.74961459459221
6749.1375533115,77509916.237618,11.873352686263,9.7437380936053,418.65312523647,125.25955324212,0.87412644010353
6906.7640730517,94018859.790518,11.877378963221,9.750346786351,412.27409454886,158.92413595914,1.0082322201948
7080.1532447658,113285242.60713,11.882201998891,9.7575058505776,406.27874262459,200.11027581177,1.1541105700747
7270.8813336513,136158007.71579,11.887999763686,9.765375141558,400.77944964674,250.84322122468,1.3151876196653
7480.6822314254,163833092.34936,11.894967979021,9.7741604500409,395.8674772064,313.84448066967,1.4959158135139
7711.4632189769,197891698.15438,11.903311915228,9.7840908751025,391.60009039562,392.63891873095,1.701348637497
