frac_T,id,x,y,z
1,0,0,0,0
0.90349111066236,1,1,0,0
0.8114427644686,2,2,0,0
0.72428771253477,3,3,0,0
0.64238988644502,4,4,0,0
0.56603228184118,5,5,0,0
0.49541032170484,6,6,0,0
0.43062828401543,7,7,0,0
0.3716994805157,8,8,0,0
0.31854988043551,9,9,0,0
0.27102484693129,10,10,0,0
0.2288984504478,11,11,0,0
0.19188471831957,12,12,0,0
0.15965011864802,13,13,0,0
0.13182657232597,14,14,0,0
0.10802433186667,15,15,0,0
0.087844151118877,16,16,0,0
0.070888284342483,17,17,0,0
0.056769983943558,18,18,0,0
0.045121301183786,19,19,0,0
0.035599122642141,20,20,0,0
0.027889488654014,21,21,0,0
0.02171033262763,22,22,0,0
0.016812849034072,23,23,0,0
0.012981742472542,24,24,0,0
0.0100346320263,25,25,0,0
0.0078208870570689,26,26,0,0
0.0062201563290962,27,27,0,0
0.0051408258086255,28,28,0,0
0.0045186052935125,29,29,0,0
0.0043154032593441,30,30,0,0
