frac_T,id,x,y,z
1,621,0,0,0
0.89803618302249,620,1,0,0
0.80099981639327,622,2,0,0
0.70960225467733,623,3,0,0
0.62441215279255,624,4,0,0
0.54582819772908,625,5,0,0
0.47407039202334,626,6,0,0
0.40918557117399,627,7,0,0
0.35106437326177,628,8,0,0
0.29946557701399,629,9,0,0
0.2540441059492,630,10,0,0
0.21437961705726,631,11,0,0
0.18000341980782,632,12,0,0
0.15042227214743,633,13,0,0
0.1251382886673,634,14,0,0
0.1036647303765,635,15,0,0
0.085537823865289,636,16,0,0
0.070324998107214,637,17,0,0
0.057630056641834,638,18,0,0
0.047095849753129,639,19,0,0
0.038405001285284,640,20,0,0
0.03127919927147,641,21,0,0
0.025477495061326,642,22,0,0
0.020793984018631,643,23,0,0
0.017055170136183,644,24,0,0
0.014117252008382,645,25,0,0
0.011863511125551,646,26,0,0
0.010201936370426,647,27,0,0
0.0090631807568253,648,28,0,0
0.0083989169988936,649,29,0,0
0.0081806361681282,650,30,0,0
