frac_T,id,x,y,z
1,0,0,0,0
0.89718493299785,1,1,0,0
0.79928455508232,2,2,0,0
0.70706503766662,3,3,0,0
0.62113936681109,4,4,0,0
0.54193799676911,5,5,0,0
0.46969984197607,6,6,0,0
0.40447875392238,7,7,0,0
0.34616235612082,8,8,0,0
0.29449871105886,9,9,0,0
0.24912674960698,10,10,0,0
0.20960711022331,11,11,0,0
0.17545096752095,12,12,0,0
0.1461453205941,13,13,0,0
0.12117396786306,14,14,0,0
0.10003397420969,15,15,0,0
0.082247839351077,16,16,0,0
0.067371826416408,17,17,0,0
0.055001038235636,18,18,0,0
0.044771868398663,19,19,0,0
0.036362433679555,20,20,0,0
0.029491537564545,21,21,0,0
0.023916639300803,22,22,0,0
0.019431221814627,23,23,0,0
0.015861873407143,24,24,0,0
0.013065327305484,25,25,0,0
0.010925642410815,26,26,0,0
0.0093516586800923,27,27,0,0
0.0082748210986502,28,28,0,0
0.0076474360363563,29,29,0,0
0.0074414014322974,30,30,0,0
