frac_T,id,x,y,z
1,621,0,0,0
0.8542719295921,620,1,0,0
0.72978917728784,622,2,0,0
0.62345483995919,623,3,0,0
0.5326248062681,624,4,0,0
0.45504023869926,625,5,0,0
0.38877175078298,626,6,0,0
0.33217135570626,627,7,0,0
0.28383149820171,628,8,0,0
0.24255004801543,629,9,0,0
0.2073004056084,630,10,0,0
0.177205972233,631,11,0,0
0.1515183504408,632,12,0,0
0.1295987327026,633,13,0,0
0.11090201535141,634,14,0,0
0.094963242779637,635,15,0,0
0.081386044782646,636,16,0,0
0.069832779504844,637,17,0,0
0.060016136860027,638,18,0,0
0.05169199361742,639,19,0,0
0.044653342471472,640,20,0,0
0.038725144121725,641,21,0,0
0.033759974342687,642,22,0,0
0.029634357793747,643,23,0,0
0.026245697397187,644,24,0,0
0.023509722923153,645,25,0,0
0.021358395332206,646,26,0,0
0.019738214760002,647,27,0,0
0.0186088900666,648,28,0,0
0.017942336864143,649,29,0,0
0.017721979106139,650,30,0,0
